year,milieu,level,province,zone,nb_people,nb_zones,nb_areas,nb_areas_tot,penta_cov,penta_cov_low,penta_cov_high,zdc_cov,zdc_cov_low,zdc_cov_high
2022,all,national,,,81438,503,2503,9208,58.3,57.3,59.3,14.2,13.6,14.8
2022,all,province,Bas Uele,,1713,11,55,169,29.2,25.1,33.6,27.9,23.4,32.9
2022,all,province,Equateur,,3213,18,90,286,54.1,48.8,59.3,5.1,2.2,11.7
2022,all,province,Haut Katanga,,4108,27,134,410,57.5,54.0,61.0,20.0,17.0,23.4
2022,all,province,Haut Lomami,,2416,16,79,351,93.9,91.7,95.6,2.1,1.3,3.2
2022,all,province,Haut Uele,,2254,13,65,212,41.1,35.6,46.8,31.5,26.8,36.7
2022,all,province,Ituri,,4019,28,133,480,65.5,61.3,69.5,4.1,3.0,5.5
2022,all,province,Kasai,,3223,18,90,406,38.3,33.9,42.8,14.3,11.6,17.4
2022,all,province,Kasai Central,,4036,26,130,459,61.0,57.7,64.2,5.5,4.2,7.3
2022,all,province,Kasai Oriental,,2937,19,95,325,47.0,43.5,50.5,18.0,15.6,20.7
2022,all,province,Kinshasa,,5263,35,176,417,87.5,85.4,89.4,1.4,1.0,1.8
2022,all,province,Kongo Central,,5614,31,155,405,67.8,64.7,70.8,10.6,8.8,12.8
2022,all,province,Kwango,,2733,14,70,305,70.0,62.7,76.4,10.3,6.8,15.3
2022,all,province,Kwilu,,3631,24,120,661,76.7,71.6,81.0,5.5,4.0,7.4
2022,all,province,Lomami,,2442,16,81,316,63.7,58.8,68.2,6.5,5.0,8.6
2022,all,province,Lualaba,,2126,14,70,244,57.2,49.8,64.4,16.8,12.5,22.3
2022,all,province,Maindombe,,2478,14,67,311,66.2,60.0,71.9,23.1,18.4,28.5
2022,all,province,Maniema,,2822,18,89,284,17.1,14.2,20.5,47.1,43.2,51.0
2022,all,province,Mongala,,1854,12,60,295,17.5,13.6,22.2,45.7,38.8,52.8
2022,all,province,Nord Kivu,,4316,26,131,500,81.2,77.8,84.2,1.1,0.6,2.2
2022,all,province,Nord Ubangi,,1663,11,55,178,65.4,52.4,76.4,9.9,5.1,18.5
2022,all,province,Sankuru,,2896,16,80,249,18.5,15.5,22.0,45.0,41.3,48.7
2022,all,province,Sud Kivu,,5853,34,168,663,63.6,60.2,66.9,9.5,8.0,11.2
2022,all,province,Sud Ubangi,,2442,16,80,308,36.5,30.8,42.7,9.4,6.6,13.4
2022,all,province,Tanganyika,,1727,11,55,268,49.5,42.3,56.7,9.0,5.9,13.6
2022,all,province,Tshopo,,3528,23,115,429,14.6,11.5,18.4,58.7,54.3,63.0
2022,all,province,Tshuapa,,2131,12,60,277,15.5,10.8,21.8,31.4,26.7,36.5
2022,all,zone,Bas Uele,Aketi,150,1,5,18,22.1,13.1,34.9,41.4,25.1,59.8
2022,all,zone,Bas Uele,Ango,161,1,5,23,42.2,19.8,68.4,8.9,1.7,35.6
2022,all,zone,Bas Uele,Bili,159,1,5,12,21.3,8.7,43.4,21.2,15.1,29.1
2022,all,zone,Bas Uele,Bondo,147,1,5,15,27.1,16.9,40.6,20.5,12.2,32.3
2022,all,zone,Bas Uele,Buta,157,1,5,16,26.2,10.6,51.5,21.7,10.5,39.6
2022,all,zone,Bas Uele,Ganga,155,1,5,21,30.7,18.2,46.7,42.4,28.9,57.1
2022,all,zone,Bas Uele,Likati,153,1,5,12,27.6,19.2,38.0,30.9,19.7,44.8
2022,all,zone,Bas Uele,Monga,165,1,5,10,14.1,5.6,31.4,28.5,15.6,46.1
2022,all,zone,Bas Uele,Poko,161,1,5,18,41.6,32.3,51.5,37.8,32.8,43.1
2022,all,zone,Bas Uele,Titule,155,1,5,11,21.9,10.9,39.2,18.3,12.5,26.0
2022,all,zone,Bas Uele,Viadana,150,1,5,13,38.1,25.0,53.1,30.1,27.1,33.2
2022,all,zone,Equateur,Basankusu,179,1,5,27,66.9,46.0,82.7,0.0,0.0,0.0
2022,all,zone,Equateur,Bikoro,178,1,5,21,64.4,38.4,84.0,3.8,0.3,35.2
2022,all,zone,Equateur,Bolenge,181,1,5,11,42.8,26.0,61.5,0.0,0.0,0.0
2022,all,zone,Equateur,Bolomba,172,1,5,29,34.6,19.6,53.3,15.5,0.9,78.8
2022,all,zone,Equateur,Bomongo,180,1,5,16,50.0,46.0,54.0,1.7,0.3,9.1
2022,all,zone,Equateur,Djombo,179,1,5,14,48.8,23.1,75.2,0.0,0.0,0.0
2022,all,zone,Equateur,Iboko,181,1,5,15,67.5,62.8,72.0,5.2,0.6,34.7
2022,all,zone,Equateur,Ingende,181,1,5,19,67.3,42.2,85.3,0.0,0.0,0.0
2022,all,zone,Equateur,Irebu,180,1,5,7,49.2,43.0,55.4,2.1,0.4,11.8
2022,all,zone,Equateur,Lilanga Bobangi,183,1,5,12,44.2,33.3,55.6,6.5,3.9,10.5
2022,all,zone,Equateur,Lotumbe,180,1,5,18,79.0,55.7,91.8,0.0,0.0,0.0
2022,all,zone,Equateur,Lukolela,180,1,5,14,49.6,42.0,57.1,2.5,0.3,19.7
2022,all,zone,Equateur,Makanza,180,1,5,17,36.2,19.4,57.1,0.0,0.0,0.0
2022,all,zone,Equateur,Mampoko,179,1,5,13,28.3,16.1,44.8,0.0,0.0,0.0
2022,all,zone,Equateur,Mbandaka,176,1,5,16,47.0,19.0,77.1,21.1,1.9,78.8
2022,all,zone,Equateur,Monieka,180,1,5,12,65.9,38.2,85.8,0.0,0.0,0.0
2022,all,zone,Equateur,Ntondo,164,1,5,14,62.1,39.6,80.5,15.2,4.4,41.5
2022,all,zone,Equateur,Wangata,180,1,5,11,69.1,53.1,81.6,1.5,0.1,14.6
2022,all,zone,Haut Katanga,Kafubu,151,1,5,13,58.3,36.4,77.3,12.7,7.0,21.9
2022,all,zone,Haut Katanga,Kamalondo,127,1,4,4,80.7,70.6,88.0,6.0,2.8,12.4
2022,all,zone,Haut Katanga,Kambove,150,1,5,11,38.4,21.4,58.9,44.9,27.6,63.5
2022,all,zone,Haut Katanga,Kampemba,154,1,5,22,60.7,41.8,76.9,23.9,11.9,42.4
2022,all,zone,Haut Katanga,Kapolowe,150,1,5,16,42.5,28.7,57.6,40.6,30.6,51.4
2022,all,zone,Haut Katanga,Kasenga,150,1,5,13,54.8,39.9,68.9,24.4,17.0,33.8
2022,all,zone,Haut Katanga,Kashobwe,151,1,5,12,75.1,51.0,89.7,5.5,0.9,26.5
2022,all,zone,Haut Katanga,Katuba,153,1,5,15,70.0,52.2,83.2,6.1,2.7,12.9
2022,all,zone,Haut Katanga,Kenya,160,1,5,19,48.0,34.2,62.0,11.7,6.1,21.2
2022,all,zone,Haut Katanga,Kikula,150,1,5,12,56.2,38.4,72.6,27.3,20.4,35.6
2022,all,zone,Haut Katanga,Kilela Balanda,150,1,5,11,31.6,17.9,49.6,45.7,30.9,61.3
2022,all,zone,Haut Katanga,Kilwa,152,1,5,24,43.3,31.8,55.5,11.2,4.6,24.7
2022,all,zone,Haut Katanga,Kipushi,150,1,5,16,48.8,25.9,72.2,39.5,21.3,61.2
2022,all,zone,Haut Katanga,Kisanga,154,1,5,15,58.3,44.9,70.6,7.1,4.1,11.8
2022,all,zone,Haut Katanga,Kowe,157,1,5,6,61.2,53.9,68.0,6.9,3.3,13.8
2022,all,zone,Haut Katanga,Likasi,150,1,5,10,58.5,55.2,61.6,22.6,17.5,28.8
2022,all,zone,Haut Katanga,Lubumbashi,154,1,5,20,77.0,64.0,86.4,5.0,1.9,12.6
2022,all,zone,Haut Katanga,Lukafu,154,1,5,12,27.0,14.6,44.6,34.1,22.8,47.6
2022,all,zone,Haut Katanga,Mitwaba,155,1,5,20,36.7,24.6,50.8,34.2,19.0,53.6
2022,all,zone,Haut Katanga,Mufunga Sampwe,154,1,5,23,39.3,27.3,52.7,23.4,9.3,47.5
2022,all,zone,Haut Katanga,Mumbunda,151,1,5,21,71.0,51.9,84.8,11.8,6.1,21.5
2022,all,zone,Haut Katanga,Panda,152,1,5,9,78.0,59.3,89.6,13.1,5.7,27.4
2022,all,zone,Haut Katanga,Pweto,151,1,5,17,53.6,28.5,77.1,15.8,8.7,27.1
2022,all,zone,Haut Katanga,Ruashi,152,1,5,26,60.0,42.5,75.3,28.4,13.0,51.3
2022,all,zone,Haut Katanga,Sakania,171,1,5,17,66.0,45.1,82.1,21.5,11.2,37.3
2022,all,zone,Haut Katanga,Tshamilemba,150,1,5,15,72.8,60.9,82.1,3.5,1.8,6.9
2022,all,zone,Haut Katanga,Vangu,155,1,5,11,66.8,33.4,89.0,18.4,5.5,46.7
2022,all,zone,Haut Lomami,Baka,130,1,4,4,97.4,83.9,99.6,0.0,0.0,0.0
2022,all,zone,Haut Lomami,Bukama,151,1,5,23,95.0,84.2,98.5,0.8,0.1,8.2
2022,all,zone,Haut Lomami,Butumba,150,1,5,16,81.3,50.0,95.0,9.6,4.5,19.3
2022,all,zone,Haut Lomami,Kabondo Dianda,151,1,5,20,97.6,89.8,99.5,0.8,0.1,8.2
2022,all,zone,Haut Lomami,Kabongo,147,1,5,32,92.4,83.2,96.8,2.2,0.4,12.1
2022,all,zone,Haut Lomami,Kamina,162,1,5,25,96.4,88.4,98.9,1.3,0.1,13.2
2022,all,zone,Haut Lomami,Kaniama,153,1,5,30,96.1,86.1,99.0,1.7,0.2,15.1
2022,all,zone,Haut Lomami,Kayamba,150,1,5,15,96.8,81.4,99.5,0.5,0.0,6.9
